config path: configs/train_unet.yaml
workspace: ./workspace/unet_mri_19Jan0559pm
description: UNet for MRI Reconstruction


train start: 2025-01-19 17:59:12
-----------------------
epoch 0/50 train PSNR: 20.49	loss: 0.0137
epoch 0/50 val PSNR: 20.05	loss: 0.0108
epoch 1/50 train PSNR: 21.35	loss: 0.0100
epoch 1/50 val PSNR: 19.27	loss: 0.0136
epoch 2/50 train PSNR: 22.50	loss: 0.0067
epoch 2/50 val PSNR: 22.45	loss: 0.0065
epoch 3/50 train PSNR: 22.56	loss: 0.0067
epoch 3/50 val PSNR: 22.00	loss: 0.0070
epoch 4/50 train PSNR: 23.12	loss: 0.0057
epoch 4/50 val PSNR: 22.81	loss: 0.0059
epoch 5/50 train PSNR: 23.64	loss: 0.0050
epoch 5/50 val PSNR: 22.98	loss: 0.0058
epoch 6/50 train PSNR: 23.08	loss: 0.0067
epoch 6/50 val PSNR: 20.70	loss: 0.0091
epoch 7/50 train PSNR: 23.15	loss: 0.0084
epoch 7/50 val PSNR: 20.47	loss: 0.0115
epoch 8/50 train PSNR: 22.02	loss: 0.0080
epoch 8/50 val PSNR: 22.45	loss: 0.0063
epoch 9/50 train PSNR: 18.69	loss: 0.0206
epoch 9/50 val PSNR: 15.65	loss: 0.0294
epoch 10/50 train PSNR: 19.68	loss: 0.0173
epoch 10/50 val PSNR: 22.51	loss: 0.0068
epoch 11/50 train PSNR: 22.86	loss: 0.0060
epoch 11/50 val PSNR: 22.83	loss: 0.0059
epoch 12/50 train PSNR: 21.33	loss: 0.0119
epoch 12/50 val PSNR: 21.59	loss: 0.0093
epoch 13/50 train PSNR: 21.48	loss: 0.0093
epoch 13/50 val PSNR: 22.29	loss: 0.0069
epoch 14/50 train PSNR: 21.83	loss: 0.0091
epoch 14/50 val PSNR: 22.73	loss: 0.0060
epoch 15/50 train PSNR: 23.40	loss: 0.0052
epoch 15/50 val PSNR: 22.80	loss: 0.0059
epoch 16/50 train PSNR: 23.86	loss: 0.0046
epoch 16/50 val PSNR: 22.79	loss: 0.0057
epoch 17/50 train PSNR: 24.33	loss: 0.0042
epoch 17/50 val PSNR: 23.46	loss: 0.0052
